title,artist,genre,mood,energy,tempo_bpm
Blinding Lights,The Weeknd,pop,happy,0.8,171
Levitating,Dua Lipa,pop,happy,0.75,103
Stay,Kid Laroi,pop,sad,0.6,170
Dynamite,BTS,pop,happy,0.85,114
Watermelon Sugar,Harry Styles,pop,happy,0.7,95
HUMBLE.,Kendrick Lamar,hiphop,intense,0.9,150
God's Plan,Drake,hiphop,happy,0.65,77
Sicko Mode,Travis Scott,hiphop,intense,0.95,155
Sunflower,Post Malone,hiphop,chill,0.5,90
Rockstar,Post Malone,hiphop,sad,0.6,160
Enter Sandman,Metallica,rock,intense,0.95,123
Bohemian Rhapsody,Queen,rock,happy,0.7,72
Black Hole Sun,Soundgarden,rock,sad,0.6,68
Under the Bridge,RHCP,rock,chill,0.45,80
Welcome to the Jungle,Guns N Roses,rock,intense,0.9,126
Clair de Lune,Debussy,classical,chill,0.2,72
River Flows in You,Yiruma,classical,chill,0.15,60
Experience,Ludovico Einaudi,classical,sad,0.25,58
All of Me,John Legend,rnb,sad,0.45,63
Redbone,Childish Gambino,rnb,chill,0.5,96